ID,Title
ZNF584,ZNF584_ReMap
ZNF589,ZNF589_ReMap
ZNF592,ZNF592_ReMap
ZNF639,ZNF639_ReMap
ZNF644,ZNF644_ReMap
ZNF740,ZNF740_ReMap
ZNF750,ZNF750_ReMap
ZNF766,ZNF766_ReMap
ZNF83,ZNF83_ReMap
ZNF92,ZNF92_ReMap
ZZZ3,ZZZ3_ReMap
